"Źródło / Funkcjonalność","Kryterium","Szczegóły","Wartość procentowa (%)","Obliczona liczba punktów"
"Funkcjonalny","Zarządzanie użytkownikami","Rejestracja nowych użytkowników, logowanie, zarządzanie profilem, resetowanie hasła, ustawienia preferencji walutowych i języka interfejsu","5","1.60"
"Funkcjonalny","Zarządzanie wydatkami","Tworzenie, edytowanie, usuwanie i pobieranie wydatków z różnymi atrybutami (kwota, kategoria, data, notatki, załączniki), etykietowanie transakcji","7","2.24"
"Funkcjonalny","Kategorie wydatków","Definiowanie własnych kategorii wydatków, przypisywanie kolorów i ikon do kategorii, hierarchia kategorii (główne i podkategorie), przenoszenie wydatków między kategoriami","4","1.28"
"Funkcjonalny","Budżetowanie","Tworzenie miesięcznych/tygodniowych budżetów z limitami na poszczególne kategorie, śledzenie realizacji budżetu, powiadomienia o przekroczeniu limitów","5","1.60"
"Funkcjonalny","Planowanie inwestycji","Definiowanie celów inwestycyjnych, określanie kwot docelowych i terminów, śledzenie postępu realizacji celów, symulacje wzrostu oszczędności z różnymi stopami procentowymi","6","1.92"
"Funkcjonalny","Raportowanie i statystyki","Generowanie raportów okresowych (dzień/tydzień/miesiąc/rok), wizualizacja wydatków według kategorii, trendy wydatków, eksport danych do różnych formatów","5","1.60"
"Funkcjonalny","Zarządzanie rachunkami","Dodawanie i zarządzanie różnymi rachunkami finansowymi (gotówka, karty, konta bankowe, e-portfele), transfer środków między rachunkami, uzgadnianie stanu konta","5","1.60"
"Funkcjonalny","Planowanie regularnych płatności","Definiowanie cyklicznych wydatków (abonamentów, rat, wynajmu), przypomnienia o nadchodzących płatnościach, automatyczne księgowanie zaplanowanych transakcji","4","1.28"
"Funkcjonalny","System powiadomień","Konfigurowanie alertów o nietypowych wydatkach, przypomnienia o terminach płatności, powiadomienia o przekroczeniu budżetu, sugestie oszczędnościowe","4","1.28"
"Funkcjonalny","Analizy predykcyjne","Prognozowanie przyszłych wydatków na podstawie historycznych danych, symulacje różnych scenariuszy finansowych, identyfikacja obszarów potencjalnych oszczędności","5","1.60"
"Wymagania dodatkowe Bazy danych II","Zaawansowane Standardy Jakości Kodu i Statyczna Analiza","Konfiguracja i wymuszanie użycia narzędzi do statycznej analizy kodu (np. ESLint z odpowiednimi pluginami), kontroli złożoności cyklomatycznej oraz spójnego formatowania kodu (np. Prettier).","3","0.96"
"Wymagania dodatkowe Bazy danych II","Automatyczne Raportowanie Błędów Aplikacji","Integracja aplikacji z zewnętrznym systemem do automatycznego zbierania, agregowania i powiadamiania o błędach występujących w aplikacji (np. Sentry, Bugsnag).","3","0.96"
"Wymagania dodatkowe Bazy danych II","Zaawansowane Techniki Indeksowania Baz Danych","Zastosowanie zaawansowanych technik indeksowania (np. indeksy częściowe, indeksy na wyrażeniach, indeksy dla wyszukiwania pełnotekstowego) w celu optymalizacji specyficznych zapytań.","4","1.28"
"Wymagania dodatkowe Bazy danych II","Strategia Tworzenia Kopii Zapasowych (Backup) i Odzyskiwania Bazy Danych","Opracowanie, wdrożenie i przetestowanie procedur regularnego tworzenia kopii zapasowych baz danych oraz ich odzyskiwania w przypadku awarii.","4","1.28"
"Wymagania dodatkowe Bazy danych II","Optymalizacja i Tuning Puli Połączeń Bazodanowych","Analiza i dostosowanie parametrów puli połączeń do baz danych (np. minimalna/maksymalna liczba połączeń, timeouty) w celu optymalizacji wydajności pod oczekiwanym obciążeniem.","3","0.96"
"Wymagania dodatkowe Bazy danych II","Budowa Potoku CI/CD dla Niezależnego Wdrażania Mikroserwisów","Zaprojektowanie i implementacja potoku CI/CD umożliwiającego automatyczne budowanie, testowanie i niezależne wdrażanie poszczególnych mikroserwisów.","4","1.28"
"Wymagania dodatkowe Bazy danych II","Optymalizacja i Zabezpieczanie Obrazów Kontenerów (Docker)","Stworzenie zoptymalizowanych i bezpiecznych obrazów kontenerów Docker dla każdej usługi, minimalizacja rozmiaru i powierzchni ataku.","2","0.64"
"Wymagania dodatkowe Bazy danych II","Automatyzacja Testów w Potoku CI/CD","Integracja różnych poziomów testów (jednostkowych, integracyjnych, kontraktowych) z potokiem CI/CD jako automatyczne bramki jakości.","2","0.64"
"Wymagania techniczne Bazy danych II","Konfiguracja Routingu i Podstawowych Middleware w Express.js","","4","1.28"
"Wymagania techniczne Bazy danych II","Implementacja Centralnej Obsługi Błędów w Express.js","","4","1.28"
"Wymagania techniczne Bazy danych II","Definicja Zakresu i Odpowiedzialności Pojedynczego Mikroserwisu","","3","0.96"
"Wymagania techniczne Bazy danych II","Definicja Zapytań REST API Między Mikroserwisami","","4","1.28"
"Wymagania techniczne Bazy danych II","Połączenie, ORM i Migracje Relacyjnej Bazy Danych","","4","1.28"
"Wymagania techniczne Bazy danych II","Implementacja Zapytań Relacyjnych (Złączenia / Joins, Transakcje) i Optymalizacja (Indeksy)","","5","1.60"
"Wymagania techniczne Bazy danych II","Integracja z MongoDB: Modelowanie i Schematy (Mongoose)","","4","1.28"
"Wymagania techniczne Bazy danych II","Zaawansowane Operacje MongoDB (Agregacje, Indeksy, GeoJSON)","","5","1.60"
"Wymagania techniczne Bazy danych II","Implementacja Uwierzytelniania (np. JWT) i Autoryzacji (np. RBAC)","","4","1.28"
"Wymagania techniczne Bazy danych II","Podstawowe Zabezpieczenia Aplikacji (Helmet, Rate Limit, Bcrypt)","","3","0.96"
"Wymagania techniczne Bazy danych II","Walidacja Danych Wejściowych (np. express-validator, Joi)","","3","0.96"
"Wymagania techniczne Bazy danych II","Implementacja Testów Jednostkowych i Integracyjnych","","7","2.24"
